Date,Open,High,Low,Close,Volume,Adj Close
2015-05-19,77.239998,78.269997,76.769997,77.779999,1521600,77.779999
2015-05-18,75.32,77.529999,75.32,77.260002,990000,77.260002
2015-05-15,76.010002,76.349998,75.040001,75.709999,867000,75.709999
2015-05-14,75.339996,77.139999,74.459999,76.050003,1571700,76.050003
2015-05-13,74.389999,75.309998,73.459999,75.110001,1601000,75.110001
2015-05-12,73.00,74.980003,72.089996,74.260002,837200,74.260002
2015-05-11,73.709999,74.660004,73.389999,73.989998,758600,73.989998
2015-05-08,74.849998,76.260002,73.900002,73.910004,1862700,73.910004
2015-05-07,73.290001,74.410004,73.050003,74.010002,682400,74.010002
2015-05-06,73.50,73.980003,72.339996,73.300003,889600,73.300003
2015-05-05,73.00,73.790001,71.419998,73.279999,1886300,73.279999
2015-05-04,73.730003,74.540001,73.43,73.610001,868600,73.610001
2015-05-01,74.57,75.489998,73.519997,73.75,1455800,73.75
2015-04-30,76.660004,77.57,74.57,74.860001,1728100,74.860001
2015-04-29,74.620003,79.50,73.639999,77.470001,2817900,77.470001
2015-04-28,74.980003,75.959999,74.00,74.989998,1127200,74.989998
2015-04-27,76.790001,76.790001,74.419998,74.760002,1342500,74.760002
2015-04-24,77.309998,77.349998,76.010002,76.089996,1380900,76.089996
2015-04-23,77.099998,77.709999,76.75,76.879997,1803700,76.879997
2015-04-22,77.93,78.230003,76.699997,77.720001,2243700,77.720001
2015-04-21,75.510002,77.809998,75.510002,77.50,3631200,77.50
2015-04-20,73.599998,75.660004,72.779999,74.639999,3783500,74.639999
2015-04-17,74.75,74.989998,70.32,73.290001,13038000,73.290001
2015-04-16,80.360001,83.449997,80.309998,82.839996,4304100,82.839996
2015-04-15,80.459999,80.949997,79.709999,80.75,1158400,80.75
2015-04-14,80.739998,81.089996,79.510002,80.199997,1003500,80.199997
2015-04-13,82.790001,83.519997,80.660004,80.730003,1218500,80.730003
2015-04-10,81.769997,82.360001,81.110001,82.339996,698900,82.339996
2015-04-09,80.720001,81.900002,79.779999,81.739998,872900,81.739998
2015-04-08,78.760002,81.00,78.760002,80.839996,1137400,80.839996
2015-04-07,78.690002,79.949997,78.330002,78.470001,842100,78.470001
2015-04-06,76.93,79.099998,75.980003,78.239998,1790000,78.239998
2015-04-02,75.75,76.230003,75.139999,76.120003,1129200,76.120003
2015-04-01,78.550003,78.769997,75.129997,75.650002,1986800,75.650002
2015-03-31,79.260002,80.040001,78.610001,78.779999,975000,78.779999
2015-03-30,78.959999,80.00,78.830002,79.440002,611600,79.440002
2015-03-27,77.309998,78.800003,76.900002,78.470001,782500,78.470001
2015-03-26,75.559998,77.68,75.00,77.029999,1621000,77.029999
2015-03-25,79.489998,79.489998,76.110001,76.199997,1430800,76.199997
2015-03-24,79.279999,80.389999,79.050003,79.25,654900,79.25
2015-03-23,79.370003,79.82,78.760002,79.279999,570200,79.279999
2015-03-20,80.540001,81.00,79.00,79.379997,1304900,79.379997
2015-03-19,79.879997,80.989998,79.849998,80.459999,702200,80.459999
2015-03-18,80.00,81.00,79.059998,80.050003,1126100,80.050003
2015-03-17,79.169998,80.150002,78.900002,79.900002,1569100,79.900002
2015-03-16,77.260002,79.18,76.949997,78.650002,1212900,78.650002
2015-03-13,76.620003,77.300003,75.970001,76.919998,1116700,76.919998
2015-03-12,74.349998,76.660004,74.239998,76.660004,1781300,76.660004
2015-03-11,73.75,74.809998,73.440002,74.239998,710200,74.239998
2015-03-10,73.599998,74.07,72.610001,73.589996,873500,73.589996
2015-03-09,74.00,74.32,72.419998,74.239998,721700,74.239998
2015-03-06,74.279999,75.290001,73.519997,74.059998,907400,74.059998
2015-03-05,73.599998,75.440002,73.449997,74.699997,1052100,74.699997
2015-03-04,74.970001,75.059998,73.370003,73.599998,1190300,73.599998
2015-03-03,76.120003,76.940002,74.610001,75.449997,1148100,75.449997
2015-03-02,75.970001,76.800003,75.129997,76.440002,1382000,76.440002
2015-02-27,79.199997,79.199997,75.949997,76.260002,3542000,76.260002
2015-02-26,80.010002,81.239998,78.860001,79.529999,1960200,79.529999
2015-02-25,78.169998,79.410004,78.07,79.029999,1422600,79.029999
2015-02-24,78.779999,79.00,77.93,78.75,1156500,78.75
2015-02-23,78.769997,79.370003,78.360001,78.669998,1124200,78.669998
2015-02-20,77.910004,79.300003,77.519997,79.059998,1004300,79.059998
2015-02-19,77.379997,78.989998,77.07,78.160004,1057600,78.160004
2015-02-18,77.00,77.720001,76.099998,77.480003,871200,77.480003
2015-02-17,77.120003,77.25,75.459999,76.879997,949700,76.879997
2015-02-13,76.25,77.639999,74.989998,77.550003,1470900,77.550003
2015-02-12,73.879997,75.970001,73.849998,75.949997,1488900,75.949997
2015-02-11,72.82,74.00,72.459999,73.879997,1039800,73.879997
2015-02-10,73.129997,73.540001,72.550003,73.32,1148000,73.32
2015-02-09,74.269997,74.650002,72.769997,72.879997,930600,72.879997
2015-02-06,73.919998,75.150002,73.360001,74.940002,1053800,74.940002
